leg_id,full_name,first_name,last_name,chamber,district,party,transparencydata_id,total_received,photo_url
NCL000250,Ben Clark,Ben,Clark,upper,21,Democratic,http://influenceexplorer.com/politician/id/2b675511d9034bf89dffb7ca0131e720,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/380.jpg
NCL000305,Paul Tine,Paul,Tine,lower,6,Unaffiliated,http://influenceexplorer.com/politician/id/2c39b3109c56491c849dfacd2f7e8b27,,http://www.ncga.state.nc.us/House/pictures/hiRes/654.jpg
NCL000098,Rick Glazier,Rick,Glazier,lower,44,Democratic,http://influenceexplorer.com/politician/id/2d497ba0b4ba4192b6b0741450b4f599,,http://www.ncga.state.nc.us/House/pictures/hiRes/317.jpg
NCL000061,Larry M Bell,Larry,Bell,lower,21,Democratic,http://influenceexplorer.com/politician/id/3063ccf38a104cad96d94016c15ecf99,,http://www.ncga.state.nc.us/House/pictures/hiRes/301.jpg
NCL000120,Darren G Jackson,Darren,Jackson,lower,39,Democratic,http://influenceexplorer.com/politician/id/31b8108737c84cf0b7630e71ea657b34,,http://www.ncga.state.nc.us/House/pictures/hiRes/595.jpg
NCL000290,Susan Martin,Susan,Martin,lower,8,Republican,http://influenceexplorer.com/politician/id/33444085357c473399d63c008ac8e9a9,,http://www.ncga.state.nc.us/House/pictures/hiRes/667.jpg
NCL000243,Allen McNeill,Allen,McNeill,lower,78,Republican,http://influenceexplorer.com/politician/id/33cfb346024c46049bb645694a54ab35,,http://www.ncga.state.nc.us/House/pictures/hiRes/635.jpg
NCL000306,Rena W. Turner,Rena W.,Turner,lower,84,Republican,http://influenceexplorer.com/politician/id/3488a554664e4c368f42545d6ec9733c,,http://www.ncga.state.nc.us/House/pictures/hiRes/658.jpg
NCL000185,Rick Gunn,Rick,Gunn,upper,24,Republican,http://influenceexplorer.com/politician/id/3833f640678f4634b3c039855b15aebb,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/276.jpg
NCL000157,Paul Stam,Paul,Stam,lower,37,Republican,http://influenceexplorer.com/politician/id/39465b456e8b4058a67e8cc9cd1add19,,http://www.ncga.state.nc.us/House/pictures/hiRes/309.jpg
NCL000213,Jonathan C Jordan,Jonathan,Jordan,lower,93,Republican,http://influenceexplorer.com/politician/id/3b1181883dcc49868fa647b2fb10ff8c,,http://www.ncga.state.nc.us/House/pictures/hiRes/621.jpg
NCL000207,Mike Hager,Mike,Hager,lower,112,Republican,http://influenceexplorer.com/politician/id/3c0bf7f192cd4764ad6eb16c7e76c3d1,,http://www.ncga.state.nc.us/House/pictures/hiRes/616.jpg
NCL000096,Rosa U Gill,Rosa,Gill,lower,33,Democratic,http://influenceexplorer.com/politician/id/3c3519715f574458a88ec2318916e17c,,http://www.ncga.state.nc.us/House/pictures/hiRes/597.jpg
NCL000182,Warren Daniel,Warren,Daniel,upper,46,Republican,http://influenceexplorer.com/politician/id/43ec18f6eec4458b9f088e08935ceb3c,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/295.jpg
NCL000199,William Brawley,William,Brawley,lower,103,Republican,http://influenceexplorer.com/politician/id/44b61be4d50046a0b6f8cee8bbf8a781,,http://www.ncga.state.nc.us/House/pictures/hiRes/609.jpg
NCL000090,Jean Farmer-Butterfield,Jean,Farmer-Butterfield,lower,24,Democratic,http://influenceexplorer.com/politician/id/4593dd617892449898e17f95a9017d66,,http://www.ncga.state.nc.us/House/pictures/hiRes/379.jpg
NCL000266,Nathan Baskerville,Nathan,Baskerville,lower,32,Democratic,http://influenceexplorer.com/politician/id/480032d190bf44c6a36a2ba21ca9b526,,http://www.ncga.state.nc.us/House/pictures/hiRes/649.jpg
NCL000277,Carl Ford,Carl,Ford,lower,76,Republican,http://influenceexplorer.com/politician/id/4dc48a8c71f34046879e5989bf792b9a,,http://www.ncga.state.nc.us/House/pictures/hiRes/644.jpg
NCL000274,Debra Conrad,Debra,Conrad,lower,74,Republican,http://influenceexplorer.com/politician/id/4e69964cea6243fd9a3c1f3be5de3bc5,,http://www.ncga.state.nc.us/House/pictures/hiRes/675.jpg
NCL000173,Roger West,Roger,West,lower,120,Republican,http://influenceexplorer.com/politician/id/516357f6a7354219866514bcd55c52e0,,http://www.ncga.state.nc.us/House/pictures/hiRes/267.jpg
NCL000249,Chad Barefoot,Chad,Barefoot,upper,18,Republican,http://influenceexplorer.com/politician/id/524bb69208144576bb12e52059838127,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/369.jpg
NCL000281,George Graham,George,Graham,lower,12,Democratic,http://influenceexplorer.com/politician/id/54af890e22f24dddb1c541b94526ed1a,,http://www.ncga.state.nc.us/House/pictures/hiRes/672.jpg
NCL000284,Jon Hardister,Jon,Hardister,lower,59,Republican,http://influenceexplorer.com/politician/id/587f934492e04a0c9a9252dd814328c0,,http://www.ncga.state.nc.us/House/pictures/hiRes/645.jpg
NCL000036,Floyd B McKissick Jr.,Floyd,McKissick,upper,20,Democratic,http://influenceexplorer.com/politician/id/5c95f9d45d5946989501a2e853e13fe9,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/228.jpg
NCL000259,Ronald J. Rabin,Ronald J.,Rabin,upper,12,Republican,http://influenceexplorer.com/politician/id/5ccfb55220ff4c3297bb32b2b1c3ca1b,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/373.jpg
