bill_id,title,created_at,updated_at,subjects
HB 10,Remove Route Restriction for NC 540 Loop.,2013-02-05,2014-11-18,State Agencies|Public Services|Transportation|Municipal and County Issues|Legislative Affairs
HB 100,Healthy Families & Workplaces/Paid Sick Days.,2013-02-14,2014-03-05,Labor and Employment|State Agencies|Public Services|Family and Children Issues
HB 1000,WC/Firefighter Occupational Diseases.,2013-04-19,2014-03-05,Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Health|Insurance
HB 1001,Repeal Statesville Civil Service Board.,2013-04-19,2014-03-05,Labor and Employment|State Agencies|Other|Legislative Affairs|Municipal and County Issues
HB 1002,Rail Corridor Lease/Town of Belmont.,2013-04-19,2014-03-05,Commerce|Transportation|Legal Issues|Municipal and County Issues|Public Services|Housing and Property
HB 1004,Town of Aberdeen Multifamily Development.,2013-04-25,2014-03-05,Housing and Property|Legal Issues|Municipal and County Issues
HB 1005,Stanly County Commissioners and Bd. of Ed.,2013-04-30,2014-03-05,Government Reform|Municipal and County Issues|Campaign Finance and Election Issues|Other|State Agencies|Education
HB 1009,Fraternal Order Improvements Exemption.,2013-05-08,2014-03-05,"Legal Issues|Public Services|Federal, State, and Local Relations|Budget, Spending, and Taxes|Housing and Property|Business and Consumers"
HB 101,Special License Plate Development Process.,2013-02-14,2014-08-02,"Public Services|Transportation|Legal Issues|Legislative Affairs|Budget, Spending, and Taxes"
HB 1011,Government Reorg. and Efficiency Act.,2013-05-08,2014-03-05,Commerce|Transportation|Legal Issues|Legislative Affairs|Labor and Employment|Public Services|Executive Branch|Crime|Agriculture and Food|Environmental|Other|Health|Arts and Humanities|Gambling and Gaming|State Agencies|Education|Business and Consumers|Animal Rights and Wildlife Issues|Technology and Communication
HB 1015,Bessemer City Annexation.,2013-06-18,2014-03-05,Legislative Affairs|Municipal and County Issues
HB 102,Online Voter Registration.,2013-02-14,2014-03-05,Transportation|Municipal and County Issues|Public Services|Campaign Finance and Election Issues|Technology and Communication|State Agencies
HB 1025,DOT/DMV Changes.,2014-05-15,2014-07-10,Commerce|Transportation|Legal Issues|Legislative Affairs|Labor and Employment|Public Services|Crime|Agriculture and Food|Environmental|Other|Technology and Communication|State Agencies|Business and Consumers
HB 1026,Update State Rail Safety Oversight.,2014-05-15,2014-06-12,Public Services|Other|Transportation
HB 1027,DWI Interlock Violation/DMV Hearing Site.,2014-05-15,2014-07-02,Transportation|Legal Issues|Municipal and County Issues|Public Services|Judiciary|Crime
HB 1028,Single License Plate Renewal Sticker.,2014-05-15,2014-06-11,Public Services|Transportation|Legal Issues
HB 1029,DMV Paper Titles/DOT FLAP funds.,2014-05-15,2014-06-04,Commerce|Transportation|Legal Issues|Public Services|Other|Housing and Property|State Agencies
HB 103,Legislative Mileage Rate at IRS Rate.,2013-02-14,2014-03-05,"Labor and Employment|Public Services|Budget, Spending, and Taxes|Legislative Affairs"
HB 1031,NC Econ. Dev. Partnership Modifications.,2014-05-15,2014-06-27,"Commerce|Government Reform|Transportation|Legal Issues|Legislative Affairs|Environmental|Public Services|Trade|Agriculture and Food|Labor and Employment|Other|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers|Insurance|Science and Medical Research"
HB 1032,Patent Abuse Bill.,2014-05-15,2014-06-10,Commerce|Legal Issues|Public Services|Judiciary|Executive Branch|Other|State Agencies
HB 1033,Special Assessment/Dam Repair.,2014-05-15,2014-11-18,"Legislative Affairs|Municipal and County Issues|Energy|Environmental|Other|Budget, Spending, and Taxes|Housing and Property|Public Services|Legal Issues"
HB 1034,Volunteer Fire and Rescue Finances (PED).,2014-05-15,2014-07-10,"Senior Issues|Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|Housing and Property|State Agencies|Insurance|Legal Issues"
HB 1035,Funds to Non-State Entities/Amend Laws.,2014-05-15,2014-07-23,"Public Services|Health|Budget, Spending, and Taxes|Federal, State, and Local Relations|Education|Business and Consumers|Insurance"
HB 1036,No Revolving Door Employment.,2014-05-15,2014-06-26,Labor and Employment|State Agencies|Public Services|Business and Consumers|Legal Issues
HB 1037,Strengthen Controlled Substances Monitoring.,2014-05-15,2014-05-17,"Legal Issues|Legislative Affairs|Drugs|Public Services|Civil Liberties and Civil Rights|Labor and Employment|Other|Health|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers|Insurance|Welfare and Poverty"
HB 1038,Driver Ed Performance Indicators (PED).,2014-05-15,2014-05-17,Transportation|Legal Issues|Legislative Affairs|Public Services|Technology and Communication|State Agencies|Education
HB 1039,NCVPS courses/Nonpublic School Students.,2014-05-15,2014-05-17,"Legislative Affairs|Public Services|Education|State Agencies|Budget, Spending, and Taxes"
HB 104,Charlotte Regional Airport Authority.,2013-02-14,2014-03-05,State Agencies|Other|Transportation|Legislative Affairs|Municipal and County Issues
HB 1040,Improve Admin Prog Monitoring at DPI.,2014-05-15,2014-05-17,"Commerce|Transportation|Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|Housing and Property|State Agencies|Education|Insurance"
HB 1041,Charter School Preliminary Approval Process.,2014-05-15,2014-05-17,State Agencies|Education|Public Services|Municipal and County Issues
HB 1042,Clarify Charter School Application Process.,2014-05-15,2014-05-17,State Agencies|Other|Education|Public Services
HB 1043,Prequalification Update.,2014-05-15,2014-07-02,Senior Issues|Municipal and County Issues|Legislative Affairs|Public Services|Executive Branch|Labor and Employment|Other|Housing and Property|State Agencies|Business and Consumers
HB 1044,Averasboro Township TDA Changes.,2014-05-15,2014-07-26,Commerce|Other|Legislative Affairs|Municipal and County Issues
HB 1045,Town of Elkin/Reg. Municipal Elections Sched.,2014-05-15,2014-11-13,Campaign Finance and Election Issues|Government Reform|Municipal and County Issues|Legislative Affairs
HB 1046,State Plan Amendments/Submission and Notice.,2014-05-15,2014-05-17,Legislative Affairs|Public Services|Other|Health|State Agencies|Insurance|Welfare and Poverty
HB 1047,Credit for Military Training.,2014-05-15,2014-05-17,Legal Issues|Legislative Affairs|Public Services|Labor and Employment|Military|State Agencies|Education
HB 1048,AG Selection Criteria/NCNG Amendments.,2014-05-15,2014-12-03,"Family and Children Issues|Legislative Affairs|Public Services|Labor and Employment|Other|Budget, Spending, and Taxes|Military|State Agencies|Education"
HB 1049,Restore School Calendar Educ. Purpose Waiver.,2014-05-15,2014-05-17,State Agencies|Education|Municipal and County Issues|Legislative Affairs|Public Services
HB 105,Require Pulse Oximetry Newborn Screening.,2013-02-14,2014-03-05,State Agencies|Education|Health|Public Services|Family and Children Issues
HB 1050,Omnibus Tax Law Changes.,2014-05-15,2014-06-10,"Commerce|Transportation|Legal Issues|Legislative Affairs|Drugs|Energy|Municipal and County Issues|Agriculture and Food|Labor and Employment|Other|Health|Technology and Communication|Budget, Spending, and Taxes|Housing and Property|State Agencies|Business and Consumers|Public Services"
HB 1051,Authorize DHHS/Cooperative Extension Contract.,2014-05-15,2014-07-02,Public Services|Agriculture and Food|Labor and Employment|Health|State Agencies|Education|Business and Consumers|Welfare and Poverty
HB 1052,Adjust the Utility Regulatory Fee.,2014-05-15,2014-07-10,Commerce|Legislative Affairs|Public Services|Other|Technology and Communication|State Agencies
HB 1054,Spindale/Cape Fear Sewer Fee Collection.,2014-05-15,2014-08-05,Commerce|Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Other|Housing and Property
HB 1055,UNCC & NCSU/Funds for Renewable Energy.,2014-05-15,2014-05-17,"Municipal and County Issues|Energy|Budget, Spending, and Taxes|Education|Public Services|Science and Medical Research"
HB 1056,Lake Lure Official Map.,2014-05-15,2014-07-30,Environmental|Other|Legislative Affairs|Municipal and County Issues
HB 1057,DENR Study IBT/EMC Eco Flow Study.,2014-05-15,2014-07-02,Legal Issues|Legislative Affairs|Public Services|Environmental|Other|State Agencies
HB 1058,PED Study of Water and Sewer Systems.,2014-05-15,2014-05-17,Public Services|Other|Legislative Affairs
HB 1059,New Hanover Occup. Tax Use.,2014-05-15,2014-08-15,"Municipal and County Issues|Legislative Affairs|Crime|Environmental|Other|Budget, Spending, and Taxes|Business and Consumers"
HB 106,Tabor City Election.,2013-02-15,2014-03-05,Campaign Finance and Election Issues|State Agencies|Municipal and County Issues
HB 1060,Military Student Identifier.,2014-05-15,2014-12-03,Legislative Affairs|Public Services|Technology and Communication|Military|State Agencies|Education
HB 1061,Replace CCSS w/NC's Higher Academ. Standards.,2014-05-15,2014-11-01,"Legislative Affairs|Public Services|Executive Branch|Other|Budget, Spending, and Taxes|State Agencies|Education"
HB 1062,Schematic Diagrams/Emergency Access to Schs.,2014-05-15,2014-12-03,Legal Issues|Municipal and County Issues|Public Services|Crime|Other|Housing and Property|State Agencies|Education
HB 1063,Restore Teacher Cadet Funds.,2014-05-15,2014-12-03,"Public Services|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers"
HB 1064,Restore Senior Citizen CC Tuition Waiver.,2014-05-15,2014-12-03,"Senior Issues|Public Services|Education|Legislative Affairs|Budget, Spending, and Taxes"
HB 1065,Study Expansion of Health Care Transparency.,2014-05-15,2014-05-17,State Agencies|Health|Public Services|Legislative Affairs
HB 1066,Study Establishment of New Optometry Schools.,2014-05-15,2014-05-17,State Agencies|Education|Health|Public Services|Legislative Affairs
HB 1067,Murphy Deannexation.,2014-05-15,2014-07-02,Legislative Affairs|Municipal and County Issues
HB 1069,Unemployment Insurance Law Changes.,2014-05-15,2014-07-02,"Commerce|Legislative Affairs|Public Services|Executive Branch|Civil Liberties and Civil Rights|Labor and Employment|Other|Technology and Communication|Budget, Spending, and Taxes|State Agencies|Business and Consumers|Insurance"
HB 107,Eastern Region/Disbursement of Funds.,2013-02-15,2014-03-05,"Commerce|Transportation|Municipal and County Issues|Legislative Affairs|Public Services|Other|Budget, Spending, and Taxes|State Agencies"
HB 1070,Town of Duck/Eminent Domain.,2014-05-15,2014-06-24,Housing and Property|Legal Issues|Municipal and County Issues
HB 1071,Agritourism Sign Location/DOT Standards.,2014-05-15,2014-05-16,Commerce|Transportation|Public Services|Agriculture and Food|Other|Technology and Communication
HB 1072,Turnpike Authority Annual Audit Date Change.,2014-05-15,2014-05-16,"State Agencies|Other|Transportation|Public Services|Budget, Spending, and Taxes"
HB 1073,Repeal Report/Right Turn on Red.,2014-05-15,2014-05-16,Public Services|Other|Transportation|Crime
HB 1075,Repeal Opp. Scholarships.,2014-05-15,2014-05-17,"Legislative Affairs|Municipal and County Issues|Public Services|Other|Budget, Spending, and Taxes|State Agencies|Education"
HB 1076,Reduce Hard Copies/Appellate Div. Reports.,2014-05-15,2014-06-11,Public Services|Other|Judiciary|Technology and Communication
HB 1077,Highway Patrol Uniforms.,2014-05-15,2014-05-21,Transportation|Legal Issues|Legislative Affairs|Public Services|Crime|State Agencies
HB 1078,Business Ct Judges/End Special Sup Ct Judges.,2014-05-15,2014-05-21,State Agencies|Public Services|Judiciary|Executive Branch
HB 1079,Positions for State Treasurer Compliance Unit.,2014-05-16,2014-06-03,Labor and Employment|State Agencies|Public Services|Senior Issues
HB 108,Rowan Vehicle Personal Use Exemption.,2013-02-15,2014-03-05,Public Services|Transportation|Legal Issues|Municipal and County Issues|Crime
HB 1080,Watha Deannexation.,2014-05-16,2014-11-16,Municipal and County Issues
HB 1081,Reform Agency Review of Engineering Work.,2014-05-16,2014-06-20,Transportation|Legal Issues|Municipal and County Issues|Labor and Employment|Public Services|Environmental|Other|Health|State Agencies|Legislative Affairs|Science and Medical Research
HB 1082,Carrboro Building Codes.,2014-05-16,2014-05-20,Housing and Property|Legal Issues|Municipal and County Issues
HB 1083,Expand Medicaid to Include All Below 133% FPL.,2014-05-16,2014-05-21,"Legislative Affairs|Public Services|Health|Budget, Spending, and Taxes|State Agencies|Insurance|Welfare and Poverty"
HB 1084,Charter Schools/Students with IEPS.,2014-05-16,2014-05-21,"State Agencies|Education|Health|Public Services|Budget, Spending, and Taxes"
HB 1085,Increase Charter School Accountability.,2014-05-16,2014-05-21,"Public Services|Crime|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Education"
HB 1086,NC and SC Rail Compact.,2014-05-16,2014-09-23,"Commerce|Recreation|Transportation|Legislative Affairs|Public Services|Other|Federal, State, and Local Relations|Technology and Communication|State Agencies"
HB 1087,Preserve Biological Evidence/Study.,2014-05-16,2014-06-11,Legal Issues|Legislative Affairs|Public Services|Crime|Other|State Agencies|Science and Medical Research
HB 1088,Highway Patrol Routine Maintenance.,2014-05-16,2014-06-20,Commerce|Transportation|Legal Issues|Legislative Affairs|Public Services|Crime|Labor and Employment|Other|State Agencies|Business and Consumers
HB 1089,AOC Civil Case Management System.,2014-05-16,2014-06-20,Public Services|Other|Judiciary|Legislative Affairs|Legal Issues
HB 109,Motorcycle Helmet Law/Study.,2013-02-15,2014-06-18,"Transportation|Legal Issues|Public Services|Judiciary|Crime|Other|Budget, Spending, and Taxes"
HB 1090,AOC Information Technology Policy.,2014-05-16,2014-06-20,Legislative Affairs|Public Services|Judiciary|Other|Technology and Communication|Science and Medical Research
HB 1091,Study Supervision of Magistrates.,2014-05-16,2014-06-20,Public Services|Other|Judiciary|Legislative Affairs
HB 1092,Enforce Payment of Criminal Mediation Fee.,2014-05-16,2014-06-12,Public Services|Other|Judiciary|Municipal and County Issues|Crime
HB 1093,State Crime Lab Salary Increase/Funds.,2014-05-16,2014-05-21,"Legal Issues|Public Services|Crime|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Science and Medical Research"
HB 1094,Mediated Settlements/District Ct.,2014-05-16,2014-06-20,Public Services|Legal Issues|Municipal and County Issues|Judiciary
HB 1095,Remote Testimony by Analysts.,2014-05-16,2014-06-05,"Public Services|Crime|Judiciary|Budget, Spending, and Taxes|Technology and Communication"
HB 1096,Union County/Contracted Ambulance Service.,2014-05-16,2014-07-18,Commerce|Legislative Affairs|Municipal and County Issues|Public Services|Labor and Employment|Health|Housing and Property
HB 1097,Service of Hearing Order/MV Dealer Licensee.,2014-05-16,2014-07-02,Commerce|Public Services|Transportation|Legal Issues|Judiciary
HB 1098,DMV DL Medical Review Program Changes.,2014-05-16,2014-05-21,Transportation|Legal Issues|Public Services|Labor and Employment|Health|State Agencies
HB 1099,Unmanned Aircraft Regulation.,2014-05-16,2014-07-02,Transportation|Legal Issues|Municipal and County Issues|Public Services|Judiciary|Crime|Other|Technology and Communication|Civil Liberties and Civil Rights|Business and Consumers|Legislative Affairs
HB 11,Special Election Dates.,2013-02-05,2014-03-05,Campaign Finance and Election Issues|Public Services
HB 110,Public Contracts/Project Labor.,2013-02-15,2014-03-05,Commerce|Public Services|Business and Consumers|Legislative Affairs|Labor and Employment
HB 1100,Boost State Nature/Heritage Tourism Industry.,2014-05-16,2014-06-26,"Commerce|Recreation|Legislative Affairs|Environmental|Public Services|Executive Branch|Agriculture and Food|Labor and Employment|Other|Arts and Humanities|Budget, Spending, and Taxes|State Agencies|Business and Consumers|Animal Rights and Wildlife Issues"
HB 1101,Mech.Liens/Amend Info./Child Supp. Orders.,2014-05-16,2014-07-01,Housing and Property|Public Services|Legal Issues|Commerce
HB 1102,Mechanics Liens - Clarify Lien Agent Notice.,2014-05-16,2014-07-01,Commerce|Public Services|Other|Legal Issues|Housing and Property
HB 1103,Verification/Jurisdiction in Juvenile Cases.,2014-05-16,2014-06-21,Family and Children Issues|Public Services|Judiciary|Legislative Affairs|Crime
HB 1104,Study Oversight/Conflicts of Int./Foster Care.,2014-05-16,2014-06-11,Senior Issues|Family and Children Issues|Legislative Affairs|Drugs|Public Services|Municipal and County Issues|Health
HB 1105,Local Erosion Prgrms/Takeover Existing Plans.,2014-05-16,2014-06-20,Agriculture and Food|Environmental|State Agencies|Public Services|Municipal and County Issues
HB 1106,Erosion Control Designer Certification.,2014-05-16,2014-06-20,Legal Issues|Municipal and County Issues|Public Services|Agriculture and Food|Environmental|Other|Housing and Property|State Agencies
HB 1107,Restore Lottery $ for School Construction.,2014-05-16,2014-06-03,"Housing and Property|Public Services|Education|Gambling and Gaming|Budget, Spending, and Taxes"
HB 1108,Duplin BCC Elections/Harnett Vacancies.,2014-05-16,2014-06-13,Campaign Finance and Election Issues|State Agencies|Education|Municipal and County Issues|Legislative Affairs
HB 1109,Clarify Existing Rule Readoption Process.,2014-05-16,2014-06-11,State Agencies|Other|Public Services|Legislative Affairs
HB 111,Workers Comp Coverage/Public Records.,2013-02-15,2014-03-05,Commerce|Public Services|Civil Liberties and Civil Rights|Labor and Employment|Other|State Agencies|Business and Consumers|Insurance
HB 1110,Improve Oversight of Public Guardianship.,2014-05-16,2014-06-11,Family and Children Issues|Legislative Affairs|Public Services|Judiciary|Health|State Agencies
HB 1111,Western School of Science & Math/Funds.,2014-05-16,2014-05-21,"Legal Issues|Municipal and County Issues|Public Services|Health|Budget, Spending, and Taxes|State Agencies|Education|Science and Medical Research"
HB 1113,Bent Creek Property Sullivan Act Exemption.,2014-05-16,2014-07-04,Business and Consumers|Legislative Affairs|Municipal and County Issues|Legal Issues
HB 1114,Elk Park/Deed Transferring Property.,2014-05-16,2014-07-18,"Municipal and County Issues|Legislative Affairs|Public Services|Other|Budget, Spending, and Taxes|Housing and Property|Legal Issues"
HB 1115,Enhance State Tribe Recognition Process.,2014-05-16,2014-05-21,State Agencies|Civil Liberties and Civil Rights|Public Services|Municipal and County Issues|Indigenous Peoples
HB 1116,Implement GSC Recommendations.,2014-05-16,2014-05-20,Commerce|Legal Issues|Public Services|Judiciary|Crime|Other|Housing and Property|State Agencies
HB 1117,Conform Pledge of Joint Account Laws.,2014-05-16,2014-07-10,Commerce|Public Services|Legislative Affairs
HB 1118,2014 Technical Corrections.,2014-05-16,2014-05-20,Commerce|Legal Issues|Municipal and County Issues|Public Services|Judiciary|Crime|Agriculture and Food|Labor and Employment|Other|Arts and Humanities|Housing and Property|State Agencies|Guns|Legislative Affairs
HB 1119,Credit for School Supplies.,2014-05-16,2014-06-03,"Labor and Employment|Public Services|Education|State Agencies|Budget, Spending, and Taxes"
HB 112,Modifications/2013 Appropriations Act.,2013-02-15,2014-07-23,"Legislative Affairs|Public Services|Crime|Labor and Employment|Other|Health|Business and Consumers|Welfare and Poverty|Transportation|Legal Issues|Municipal and County Issues|Drugs|Judiciary|Executive Branch|Environmental|Budget, Spending, and Taxes|Commerce|Family and Children Issues|Civil Liberties and Civil Rights|Technology and Communication|Energy|Trade|Agriculture and Food|State Agencies|Education|Insurance|Science and Medical Research"
HB 1120,2 Co. Comm./Durham Tech. Bd.,2014-05-20,2014-07-18,State Agencies|Education|Other|Municipal and County Issues|Legislative Affairs
HB 1122,Drivers License Material Technical Standard.,2014-05-20,2014-06-03,Public Services|Transportation|Technology and Communication|Legal Issues
HB 1123,Exclude Federal Lands Access Funds from STI.,2014-05-20,2014-05-21,"Public Services|Transportation|Budget, Spending, and Taxes"
HB 1124,DOT Minority/Women Business Program.,2014-05-20,2014-06-04,Commerce|Transportation|Public Services|Sexual Orientation and Gender Issues|Civil Liberties and Civil Rights|Labor and Employment|Housing and Property|Business and Consumers
HB 1125,Alt. Criteria under STI for Emergency Repair.,2014-05-20,2014-05-21,"Transportation|Public Services|Health|Budget, Spending, and Taxes"
HB 1126,DOT Partnerships with Private Developers.,2014-05-20,2014-06-03,Transportation|Legislative Affairs|Public Services|Labor and Employment|Housing and Property|Business and Consumers
HB 1127,Maggie Valley Deannexation.,2014-05-20,2014-06-03,Municipal and County Issues
HB 1131,Clay County Opossum Exclusion/Wildlife Laws.,2014-05-21,2014-12-03,Environmental|Resolutions|Municipal and County Issues|Animal Rights and Wildlife Issues|Legislative Affairs
HB 1132,Strategies for Improving MH-DD-SAS.,2014-05-21,2014-06-03,Family and Children Issues|Drugs|Public Services|Civil Liberties and Civil Rights|Other|Health|State Agencies
HB 1133,Technical and Other Corrections.,2014-05-21,2014-11-18,"Legislative Affairs|Public Services|Crime|Labor and Employment|Other|Health|Business and Consumers|Guns|Welfare and Poverty|Campaign Finance and Election Issues|Government Reform|Transportation|Legal Issues|Municipal and County Issues|Drugs|Judiciary|Environmental|Arts and Humanities|Budget, Spending, and Taxes|Commerce|Social Issues|Family and Children Issues|Senior Issues|Civil Liberties and Civil Rights|Technology and Communication|Housing and Property|Trade|Agriculture and Food|State Agencies|Education|Science and Medical Research"
HB 1134,Cleveland County/Road Assessment Criteria.,2014-05-21,2014-06-27,"Transportation|Legislative Affairs|Municipal and County Issues|Public Services|Budget, Spending, and Taxes|Housing and Property|Legal Issues"
HB 1135,Business Facilities Development.,2014-05-21,2014-06-19,Housing and Property|State Agencies|Public Services|Municipal and County Issues|Commerce
HB 1136,Authority to Adopt Certain Ordinances.,2014-05-21,2014-06-03,Legal Issues|Municipal and County Issues|Public Services|Agriculture and Food|Environmental|State Agencies|Legislative Affairs
HB 1137,Reporting and Notice of Wastewater Spills.,2014-05-21,2014-06-03,Environmental|Public Services|Other
HB 1138,ABC Permits/Pubs.,2014-05-21,2014-06-03,Agriculture and Food|State Agencies|Other|Legal Issues|Public Services
HB 1139,State Nat. & Hist. Pres. Adds & Dels.,2014-05-21,2014-07-10,Recreation|Legislative Affairs|Municipal and County Issues|Public Services|Environmental|Housing and Property|State Agencies|Business and Consumers|Animal Rights and Wildlife Issues|Legal Issues
HB 114,No SS# Req/Absolute Divorce.,2013-02-15,2014-03-05,Legal Issues|Family and Children Issues|Public Services|Judiciary|Civil Liberties and Civil Rights|State Agencies|Business and Consumers|Legislative Affairs
HB 1140,Amend Hotel Carbon Monoxide Alarm Requirement.,2014-05-21,2014-06-11,Housing and Property|Public Services|Other|Business and Consumers|Legislative Affairs
HB 1141,Amend Isolated Wetland Regulation.,2014-05-21,2014-06-03,Environmental|State Agencies|Other|Public Services|Legislative Affairs
HB 1142,Modify Film/Historic Rehab Tax Credits.,2014-05-21,2014-06-03,"Commerce|Public Services|Other|Arts and Humanities|Budget, Spending, and Taxes|Housing and Property|Business and Consumers"
HB 1143,Burden of Proof in Certain Contested Cases.,2014-05-21,2014-06-03,Labor and Employment|State Agencies|Public Services|Legislative Affairs|Crime
HB 1144,Study 1%/$80 Rate for Mill Machinery.,2014-05-21,2014-07-09,"Commerce|Transportation|Legislative Affairs|Public Services|Environmental|Other|Budget, Spending, and Taxes"
HB 1145,Registration for Mopeds.,2014-05-21,2014-08-13,Transportation|Municipal and County Issues|Legislative Affairs|Public Services|Labor and Employment|Other|Health|State Agencies|Education|Insurance|Legal Issues
HB 1147,Zebulon Charter Amendments.,2014-05-21,2014-06-03,"Transportation|Legal Issues|Municipal and County Issues|Public Services|Other|Budget, Spending, and Taxes|Housing and Property|Legislative Affairs"
HB 1148,911 Board/Back-up PSAP.,2014-05-21,2014-06-03,State Agencies|Other|Public Services|Technology and Communication
HB 1149,State CIO/Mobile Communications Devices.,2014-05-21,2014-09-20,Legal Issues|Legislative Affairs|Public Services|Technology and Communication|Housing and Property|Science and Medical Research
HB 115,State Minimum Wage/Inflation Increases.,2013-02-15,2014-03-05,Labor and Employment|Social Issues|Public Services
HB 1150,Education Longitudinal Data System Changes.,2014-05-21,2014-06-03,Legislative Affairs|Public Services|Technology and Communication|State Agencies|Education|Science and Medical Research
HB 1151,Fayetteville Red Light Changes.,2014-05-21,2014-07-26,Transportation|Legal Issues|Municipal and County Issues|Crime|Labor and Employment|Other|Business and Consumers|Legislative Affairs
HB 1152,Eliminate Obsolete Boards and Commissions.,2014-05-21,2014-06-11,Commerce|Legal Issues|Legislative Affairs|Public Services|Judiciary|Executive Branch|Crime|Labor and Employment|Other|Health|Arts and Humanities|State Agencies|Education|Business and Consumers
HB 1153,OAH Electronic Filing.,2014-05-21,2014-08-09,State Agencies|Public Services|Technology and Communication
HB 1154,Moore Co. Schools Transfer of Property.,2014-05-21,2014-07-18,Municipal and County Issues|Legislative Affairs|State Agencies|Education|Business and Consumers|Legal Issues
HB 1155,Pinehurst Annexation.,2014-05-21,2014-07-26,Housing and Property|Public Services|Legislative Affairs|Municipal and County Issues
HB 1156,Spirituous Liquor Tastings/City of Asheville.,2014-05-21,2014-06-19,Commerce|State Agencies|Other|Legal Issues|Municipal and County Issues
HB 1157,Electronic Drivers License Amendment.,2014-05-21,2014-07-01,Public Services|Transportation|Technology and Communication|Legal Issues
HB 1158,Morganton Charter Amendment.,2014-05-21,2014-06-20,Government Reform|Municipal and County Issues|Legislative Affairs|Campaign Finance and Election Issues|Other|State Agencies|Business and Consumers
HB 1159,City of Greenville/Private Sale.,2014-05-21,2014-06-27,Business and Consumers|Municipal and County Issues|Legislative Affairs|Legal Issues
HB 116,Carrboro Office of Alderman.,2013-02-19,2014-03-05,Campaign Finance and Election Issues|Other|Legislative Affairs|Municipal and County Issues
HB 1160,CISNC Funds.,2014-05-21,2014-12-03,"Public Services|Other|Budget, Spending, and Taxes|State Agencies|Education|Business and Consumers"
HB 1161,Legalize Medical Marijuana/Const Amendment.,2014-05-21,2014-06-03,Campaign Finance and Election Issues|Government Reform|Transportation|Legal Issues|Legislative Affairs|Drugs|Public Services|Crime|Agriculture and Food|Health|Science and Medical Research
HB 1162,Flexibility for NCNG Capital Projects.,2014-05-21,2014-06-03,"Military|State Agencies|Education|Public Services|Budget, Spending, and Taxes"
HB 1163,Streamline Rule-making Process.,2014-05-21,2014-06-03,"Public Services|Other|Budget, Spending, and Taxes"
HB 1164,SBOE Rulemaking Clarification.,2014-05-21,2014-06-03,State Agencies|Other|Education|Public Services
HB 1165,Amend OLB Reporting Requirements.,2014-05-21,2014-06-11,Labor and Employment|State Agencies|Public Services|Other|Legal Issues
HB 1166,Clarify Gravel Under Stormwater Laws.,2014-05-21,2014-06-11,"Legislative Affairs|Public Services|Agriculture and Food|Environmental|Other|Budget, Spending, and Taxes|State Agencies|Education"
HB 1167,Modify 2013 Appropriations Act.,2014-05-21,2014-12-03,"Public Services|Transportation|Budget, Spending, and Taxes"
HB 1168,Yancey Right-of-Way Safety.,2014-06-03,2014-06-24,Transportation|Municipal and County Issues|Public Services|Animal Rights and Wildlife Issues|Crime|Guns
HB 1169,Update/Modernize Midwifery Practice Act.,2014-06-03,2014-06-03,Legal Issues|Public Services|Sexual Orientation and Gender Issues|Labor and Employment|Health|Reproductive Issues|State Agencies
HB 117,Revise Laws for Unoccupied School Buses.,2013-02-19,2014-03-05,Public Services|Education|Transportation
HB 1170,Disapprove Funeral Board Rule.,2014-06-03,2014-06-11,Legislative Affairs|Family and Children Issues|Public Services|Labor and Employment|Other|State Agencies|Legal Issues
HB 1171,Modify 2013 Appropriations Act.,2014-06-03,2014-06-03,"Public Services|Transportation|Budget, Spending, and Taxes"
HB 1173,Licensing Boards Rules for Prof. Corps.,2014-06-03,2014-06-11,Commerce|Legal Issues|Public Services|Labor and Employment|Other|State Agencies|Business and Consumers
HB 1174,Defer Cutoff to Qualify for Master's Supp.,2014-06-03,2014-06-03,"Legislative Affairs|Public Services|Labor and Employment|Budget, Spending, and Taxes|State Agencies|Education"
HB 1176,Increase Legislator Pay.,2014-06-03,2014-06-03,Labor and Employment|Public Services|Other|Legislative Affairs
HB 1177,Property Tax For Teacher Compensation.,2014-06-03,2014-06-03,"Legal Issues|Municipal and County Issues|Public Services|Labor and Employment|Budget, Spending, and Taxes|Housing and Property|State Agencies|Education"
HB 1178,Funds/Procedure for Charter School Closure.,2014-06-03,2014-06-03,State Agencies|Education|Public Services
HB 1179,Status Reports Filed by Guardians.,2014-06-03,2014-06-03,Family and Children Issues|Public Services|Judiciary|Other|Health|State Agencies
HB 118,Consular Documents Not Acceptable as ID.,2013-02-19,2014-03-05,Public Services|Immigration|Municipal and County Issues|Technology and Communication
