bill_id,title,created_at,updated_at,subjects
HB 894,Source Water Protection Planning.,2013-04-13,2014-07-02,Commerce|Legislative Affairs|Municipal and County Issues|Public Services|Environmental|Other|Health|State Agencies
HB 895,UNC/MAHEC/Honor Rep. Mary Nesbitt.,2013-04-13,2014-03-05,Municipal and County Issues|Legislative Affairs|Public Services|Health|Education|Legal Issues
HB 896,Superintendent Designee/Employment Hearings.,2013-04-13,2014-03-05,Labor and Employment|State Agencies|Education|Public Services|Municipal and County Issues
HB 897,Expanded West. Crime Lab/Existing State Bldg.,2013-04-13,2014-03-05,"State Agencies|Public Services|Municipal and County Issues|Budget, Spending, and Taxes|Science and Medical Research"
HB 899,Local Authority/Large-Scale Chicken Farms.,2013-04-13,2014-03-05,Legal Issues|Municipal and County Issues|Public Services|Agriculture and Food|Environmental|Animal Rights and Wildlife Issues
HB 9,Speaker/Pro Tem Term Limits.,2013-02-05,2014-03-05,Campaign Finance and Election Issues|Public Services|Government Reform|Legislative Affairs
HB 900,Exempt Continuing Care Facilities From CON.,2013-04-13,2014-03-05,Senior Issues|State Agencies|Other|Health|Public Services
HB 901,Mechanics Liens/Leasehold Improvements.,2013-04-13,2014-08-15,Commerce|Legal Issues|Legislative Affairs|Public Services|Housing and Property|State Agencies
HB 902,Education and Workforce Innovation Act.,2013-04-13,2014-12-03,Commerce|Legislative Affairs|Public Services|Executive Branch|Labor and Employment|Other|State Agencies|Education
HB 903,UNC & Comm. College Credit Transfers.,2013-04-13,2014-12-03,State Agencies|Education|Other|Public Services|Legislative Affairs
HB 904,In-State Tuition/Some N.C. Immigrant Youth.,2013-04-13,2014-03-05,Public Services|Education|Immigration|Family and Children Issues
HB 905,Hog Lagoon Phase Out/Livestock Treatment.,2013-04-13,2014-03-05,Legislative Affairs|Public Services|Crime|Agriculture and Food|Environmental|Health|State Agencies|Animal Rights and Wildlife Issues
HB 906,N.C. Public Contractor Safety Act.,2013-04-13,2014-03-05,Commerce|Municipal and County Issues|Public Services|Labor and Employment|Other|Housing and Property|Business and Consumers
HB 907,Permanent Plates/Nonprofit Transp. Agency.,2013-04-13,2014-03-05,"Transportation|Public Services|Business and Consumers|Legal Issues|Budget, Spending, and Taxes"
