leg_id,full_name,first_name,last_name,chamber,district,party,transparencydata_id,photo_url
NCL000334,Sam Watford,Sam,Watford,lower,80,Republican,,http://www.ncga.state.nc.us/House/pictures/hiRes/687.jpg
NCL000206,Charles Graham,Charles,Graham,lower,47,Democratic,eb68a4fdce75422dad99aad5c6a7f1ab,http://www.ncga.state.nc.us/House/pictures/hiRes/615.jpg
NCL000304,Evelyn Terry,Evelyn,Terry,lower,71,Democratic,,http://www.ncga.state.nc.us/House/pictures/hiRes/676.jpg
NCL000347,Brian Turner,Brian,Turner,lower,116,Democratic,,http://www.ncga.state.nc.us/House/pictures/hiRes/696.jpg
NCL000065,John M Blust,John M.,Blust,lower,62,Republican,9b61480d007e402dabd5c1e1b3058745,http://www.ncga.state.nc.us/House/pictures/hiRes/234.jpg
NCL000116,Pat B Hurley,Pat B.,Hurley,lower,70,Republican,6b029d65ec664244a0bc75a90b80c7e5,http://www.ncga.state.nc.us/House/pictures/hiRes/560.jpg
NCL000272,Dana Bumgardner,Dana,Bumgardner,lower,109,Republican,fc2dd712b8af4a859173317942c40400,http://www.ncga.state.nc.us/House/pictures/hiRes/659.jpg
NCL000201,Jeffrey Lynn Collins,Jeffrey Lynn,Collins,lower,25,Republican,bc91c918c431496db23446a6da3a7711,http://www.ncga.state.nc.us/House/pictures/hiRes/611.jpg
NCL000283,"Edward Hanes, Jr.",Edward,"Hanes, Jr.",lower,72,Democratic,06d823fd295b4d928af3482a0004018a,http://www.ncga.state.nc.us/House/pictures/hiRes/674.jpg
NCL000098,Rick Glazier,Rick,Glazier,lower,44,Democratic,2d497ba0b4ba4192b6b0741450b4f599,http://www.ncga.state.nc.us/House/pictures/hiRes/317.jpg
NCL000213,Jonathan C Jordan,Jonathan C.,Jordan,lower,93,Republican,3b1181883dcc49868fa647b2fb10ff8c,http://www.ncga.state.nc.us/House/pictures/hiRes/621.jpg
NCL000204,John Faircloth,John,Faircloth,lower,61,Republican,75e4eb35ed98481e95d66c9d4b9a0cbb,http://www.ncga.state.nc.us/House/pictures/hiRes/603.jpg
NCL000269,Mark Brody,Mark,Brody,lower,55,Republican,858556763abf477f9895c2773460eaa1,http://www.ncga.state.nc.us/House/pictures/hiRes/663.jpg
NCL000069,William D Brisson,William D.,Brisson,lower,22,Democratic,6296f74099b54e53808674f49700b860,http://www.ncga.state.nc.us/House/pictures/hiRes/558.jpg
NCL000113,Bryan R Holloway,Bryan R.,Holloway,lower,91,Republican,1fb47ea1aab944ff8faec77f965e7156,http://www.ncga.state.nc.us/House/pictures/hiRes/531.jpg
NCL000090,Jean Farmer-Butterfield,Jean,Farmer-Butterfield,lower,24,Democratic,4593dd617892449898e17f95a9017d66,http://www.ncga.state.nc.us/House/pictures/hiRes/379.jpg
NCL000114,Julia C Howard,Julia C.,Howard,lower,79,Republican,a01e1642a8a245c384438e4efb2fffdf,http://www.ncga.state.nc.us/House/pictures/hiRes/53.jpg
NCL000208,Susi H Hamilton,Susi H.,Hamilton,lower,18,Democratic,5eb74c86e6334ffd882d48e8fbb83689,http://www.ncga.state.nc.us/House/pictures/hiRes/617.jpg
NCL000173,Roger West,Roger,West,lower,120,Republican,516357f6a7354219866514bcd55c52e0,http://www.ncga.state.nc.us/House/pictures/hiRes/267.jpg
NCL000217,Rodney W. Moore,Rodney W.,Moore,lower,99,Democratic,aed131dde9664a62aa4c2eef79908ccf,http://www.ncga.state.nc.us/House/pictures/hiRes/624.jpg
NCL000059,Marilyn Avila,Marilyn,Avila,lower,40,Republican,01654002af8445599302a31785253a96,http://www.ncga.state.nc.us/House/pictures/hiRes/568.jpg
NCL000061,Larry M Bell,Larry M.,Bell,lower,21,Democratic,3063ccf38a104cad96d94016c15ecf99,http://www.ncga.state.nc.us/House/pictures/hiRes/301.jpg
NCL000086,Nelson Dollar,Nelson,Dollar,lower,36,Republican,e935f01d6c3d43ca8e7ad9a349e798e3,http://www.ncga.state.nc.us/House/pictures/hiRes/489.jpg
NCL000092,Elmer Floyd,Elmer,Floyd,lower,43,Democratic,cc115a63e37f43ac830b8982b3549ef3,http://www.ncga.state.nc.us/House/pictures/hiRes/583.jpg
NCL000120,Darren G Jackson,Darren G.,Jackson,lower,39,Democratic,31b8108737c84cf0b7630e71ea657b34,http://www.ncga.state.nc.us/House/pictures/hiRes/595.jpg
NCL000062,Hugh Blackwell,Hugh,Blackwell,lower,86,Republican,8694394aeb0145b9bbac60426ad4fd07,http://www.ncga.state.nc.us/House/pictures/hiRes/580.jpg
NCL000228,Jason Saine,Jason,Saine,lower,97,Republican,ba6d018e82d949f3af074c0e6402d42e,http://www.ncga.state.nc.us/House/pictures/hiRes/632.jpg
NCL000066,James L Boles Jr.,James L.,"Boles, Jr.",lower,52,Republican,8c5177241eae4caebdff2f4465e84414,http://www.ncga.state.nc.us/House/pictures/hiRes/581.jpg
NCL000137,Pat McElraft,Pat,McElraft,lower,13,Republican,e04a2cccbebf4343b8c910374eee4b5a,http://www.ncga.state.nc.us/House/pictures/hiRes/570.jpg
NCL000140,Henry M Michaux Jr.,Henry M.,"Michaux, Jr.",lower,31,Democratic,07e88fa75bda48afa2905badc7a75ce5,http://www.ncga.state.nc.us/House/pictures/hiRes/71.jpg
NCL000127,James H Langdon Jr.,James H.,"Langdon, Jr.",lower,28,Republican,0158e686544743f9aa590e1a821e764e,http://www.ncga.state.nc.us/House/pictures/hiRes/482.jpg
NCL000130,Marvin W Lucas,Marvin W.,Lucas,lower,42,Democratic,c60b1d31b0e6499998c9d0689d94497d,http://www.ncga.state.nc.us/House/pictures/hiRes/216.jpg
NCL000221,Phil R Shepard,Phil R.,Shepard,lower,15,Republican,29ce1a6c9d834088913ce23cfdee2df4,http://www.ncga.state.nc.us/House/pictures/hiRes/628.jpg
NCL000207,Mike Hager,Mike,Hager,lower,112,Republican,3c0bf7f192cd4764ad6eb16c7e76c3d1,http://www.ncga.state.nc.us/House/pictures/hiRes/616.jpg
NCL000205,Ken Goodman,Ken,Goodman,lower,66,Democratic,f16f996defb7488bb8ffc4493a1715d5,http://www.ncga.state.nc.us/House/pictures/hiRes/614.jpg
NCL000128,David R. Lewis,David R.,Lewis,lower,53,Republican,f8eabc2718e441aea2259bbc10274a35,http://www.ncga.state.nc.us/House/pictures/hiRes/389.jpg
NCL000076,George G Cleveland,George G.,Cleveland,lower,14,Republican,037d8790a52c427b88ecab0f78797b54,http://www.ncga.state.nc.us/House/pictures/hiRes/476.jpg
NCL000211,D. Craig Horn,D. Craig,Horn,lower,68,Republican,03bec46af73847d78025346e29a8dc15,http://www.ncga.state.nc.us/House/pictures/hiRes/604.jpg
NCL000119,Verla Insko,Verla,Insko,lower,56,Democratic,c4ea833b77144dbf87d8a8d12896ac7f,http://www.ncga.state.nc.us/House/pictures/hiRes/46.jpg
NCL000199,William Brawley,William,Brawley,lower,103,Republican,44b61be4d50046a0b6f8cee8bbf8a781,http://www.ncga.state.nc.us/House/pictures/hiRes/609.jpg
NCL000155,Mitchell S Setzer,Mitchell S.,Setzer,lower,89,Republican,a7bbceca515347b48d1b7703585b5912,http://www.ncga.state.nc.us/House/pictures/hiRes/149.jpg
NCL000215,Chuck McGrady,Chuck,McGrady,lower,117,Republican,1dbdf85542f2448ca8a82311a0dac23a,http://www.ncga.state.nc.us/House/pictures/hiRes/605.jpg
NCL000212,Bert Jones,Bert,Jones,lower,65,Republican,e81e156f0f43454586ae5710f59072d0,http://www.ncga.state.nc.us/House/pictures/hiRes/620.jpg
NCL000073,Justin P Burr,Justin P.,Burr,lower,67,Republican,8b52804395024cf4a94b0fb0f981e88f,http://www.ncga.state.nc.us/House/pictures/hiRes/582.jpg
NCL000223,John A Torbett,John A.,Torbett,lower,108,Republican,c996b015503247ee95b4533340a71b4e,http://www.ncga.state.nc.us/House/pictures/hiRes/606.jpg
NCL000075,Becky Carney,Becky,Carney,lower,102,Democratic,09d2f4647b704899b7eae50ff72f7978,http://www.ncga.state.nc.us/House/pictures/hiRes/322.jpg
NCL000200,Rayne Brown,Rayne,Brown,lower,81,Republican,8305f1bed52d419eb4dfc3cab65ec96b,http://www.ncga.state.nc.us/House/pictures/hiRes/610.jpg
NCL000179,Michael H Wray,Michael H.,Wray,lower,27,Democratic,04d5eeba093c4ea99db560617d85ed03,http://www.ncga.state.nc.us/House/pictures/hiRes/481.jpg
NCL000083,Namon Leo Daughtry,Namon Leo,Daughtry,lower,26,Republican,a4c9df314693479eb51c9cd68aef7c51,http://www.ncga.state.nc.us/House/pictures/hiRes/26.jpg
NCL000106,Larry D Hall,Larry D.,Hall,lower,29,Democratic,8e2a904b71ec471d94e01dbd96ecea43,http://www.ncga.state.nc.us/House/pictures/hiRes/572.jpg
NCL000087,Beverly M Earle,Beverly M.,Earle,lower,101,Democratic,e7aa7963125540208165ffd95686acf2,http://www.ncga.state.nc.us/House/pictures/hiRes/34.jpg
NCL000080,Tricia Ann Cotham,Tricia Ann,Cotham,lower,100,Democratic,b83c701d1f0c45fd99d4016c6c5a1d46,http://www.ncga.state.nc.us/House/pictures/hiRes/576.jpg
NCL000122,Linda P Johnson,Linda P.,Johnson,lower,83,Republican,8092b88f517746e9894b867063b8ddd1,http://www.ncga.state.nc.us/House/pictures/hiRes/292.jpg
NCL000203,Jimmy Dixon,Jimmy,Dixon,lower,4,Republican,6c7dc0bf66f145b0bf5a17cdb1ff6cd4,http://www.ncga.state.nc.us/House/pictures/hiRes/613.jpg
NCL000096,Rosa U Gill,Rosa U.,Gill,lower,33,Democratic,3c3519715f574458a88ec2318916e17c,http://www.ncga.state.nc.us/House/pictures/hiRes/597.jpg
NCL000108,Pricey Harrison,Pricey,Harrison,lower,57,Democratic,d8b1abf90493459ea0c40891a94ed78c,http://www.ncga.state.nc.us/House/pictures/hiRes/504.jpg
NCL000148,Garland E Pierce,Garland E.,Pierce,lower,48,Democratic,a2ee56fda05d4457a87974ecb88d9c00,http://www.ncga.state.nc.us/House/pictures/hiRes/497.jpg
NCL000160,Sarah Stevens,Sarah,Stevens,lower,90,Republican,0b8fca76b80049939886384fc1f76843,http://www.ncga.state.nc.us/House/pictures/hiRes/592.jpg
NCL000133,Grier Martin,Grier,Martin,lower,34,Democratic,15a5bfbe307f40cfaf48787a0abd5236,http://www.ncga.state.nc.us/House/pictures/hiRes/487.jpg
NCL000040,Joe Sam Queen,Joe Sam,Queen,lower,119,Democratic,08a88867b91a41418ab7222638f7308d,http://www.ncga.state.nc.us/House/pictures/hiRes/669.jpg
NCL000157,Paul Stam,Paul,Stam,lower,37,Republican,39465b456e8b4058a67e8cc9cd1add19,http://www.ncga.state.nc.us/House/pictures/hiRes/309.jpg
NCL000278,Valerie P. Foushee,Valerie P.,Foushee,upper,23,Democratic,bfa0478db4c84977836ac6725fbdf8a8,http://www.ncga.state.nc.us/Senate/pictures/hiRes/383.jpg
NCL000329,Tom McInnis,Tom,McInnis,upper,25,Republican,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/389.jpg
NCL000336,Andy Wells,Andy,Wells,upper,42,Republican,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/388.jpg
NCL000337,Jane W. Smith,Jane W.,Smith,upper,13,Democratic,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/390.jpg
NCL000349,"Paul A. Lowe, Jr.",Paul A.,"Lowe, Jr.",upper,32,Democratic,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/394.jpg
NCL000018,Don Davis,Don,Davis,upper,5,Democratic,af89d44a491d4c01b0e530613dd61758,http://www.ncga.state.nc.us/Senate/pictures/hiRes/230.jpg
NCL000249,Chad Barefoot,Chad,Barefoot,upper,18,Republican,524bb69208144576bb12e52059838127,http://www.ncga.state.nc.us/Senate/pictures/hiRes/369.jpg
NCL000250,Ben Clark,Ben,Clark,upper,21,Democratic,2b675511d9034bf89dffb7ca0131e720,http://www.ncga.state.nc.us/Senate/pictures/hiRes/380.jpg
NCL000185,Rick Gunn,Rick,Gunn,upper,24,Republican,3833f640678f4634b3c039855b15aebb,http://www.ncga.state.nc.us/Senate/pictures/hiRes/276.jpg
NCL000259,Ronald J. Rabin,Ronald J.,Rabin,upper,12,Republican,5ccfb55220ff4c3297bb32b2b1c3ca1b,http://www.ncga.state.nc.us/Senate/pictures/hiRes/373.jpg
NCL000321,Terry Van Duyn,Terry,Van Duyn,upper,49,Democratic,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/385.jpg
NCL000330,Joyce Waddell,Joyce,Waddell,upper,40,Democratic,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/393.jpg
NCL000252,David L. Curtis,David L.,Curtis,upper,44,Republican,e74f5a1a10954c6ab39158188dac5466,http://www.ncga.state.nc.us/Senate/pictures/hiRes/378.jpg
NCL000255,Joel D. M. Ford,Joel D. M.,Ford,upper,38,Democratic,b0e727275fc7498da9a292dca4f725a6,http://www.ncga.state.nc.us/Senate/pictures/hiRes/370.jpg
NCL000248,Tamara Barringer,Tamara,Barringer,upper,17,Republican,7a10eff1f13b4326a0b70a88f1fc4a15,http://www.ncga.state.nc.us/Senate/pictures/hiRes/368.jpg
NCL000262,Jeff Tarte,Jeff,Tarte,upper,41,Republican,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/376.jpg
NCL000322,Jeff Jackson,Jeff,Jackson,upper,37,Democratic,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/386.jpg
NCL000324,Michael V. Lee,Michael V.,Lee,upper,9,Republican,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/387.jpg
NCL000335,Erica Smith-Ingram,Erica,Smith-Ingram,upper,3,Democratic,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/391.jpg
NCL000007,Phil Berger,Phil,Berger,upper,26,Republican,7e0a37698fb84290924b8320283ed623,http://www.ncga.state.nc.us/Senate/pictures/hiRes/64.jpg
NCL000264,Mike Woodard,Mike,Woodard,upper,22,Democratic,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/379.jpg
NCL000246,Joyce Krawiec,Joyce,Krawiec,upper,31,Republican,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/384.jpg
NCL000047,Josh Stein,Josh,Stein,upper,16,Democratic,d3917a35b626477a9a7afaf7dbf206be,http://www.ncga.state.nc.us/Senate/pictures/hiRes/267.jpg
NCL000346,"John M. Alexander, Jr.",John M.,"Alexander, Jr.",upper,15,Republican,,http://www.ncga.state.nc.us/Senate/pictures/hiRes/392.jpg
NCL000013,Harry Brown,Harry,Brown,upper,6,Republican,e540975c63cc4bf2936cc8e9c8e55498,http://www.ncga.state.nc.us/Senate/pictures/hiRes/139.jpg
NCL000043,Bob Rucho,Bob,Rucho,upper,39,Republican,c494d2f9f680495b937249f8805feed2,http://www.ncga.state.nc.us/Senate/pictures/hiRes/11.jpg
NCL000194,Gladys A Robinson,Gladys A.,Robinson,upper,28,Democratic,90e9e3b3d0c9423f87f7926557c5126c,http://www.ncga.state.nc.us/Senate/pictures/hiRes/364.jpg
NCL000190,Wesley Meredith,Wesley,Meredith,upper,19,Republican,6a335bb73b6442e3b78d317ef692cb27,http://www.ncga.state.nc.us/Senate/pictures/hiRes/305.jpg
NCL000008,Stan Bingham,Stan,Bingham,upper,33,Republican,163cecc202d94c29ad8a774534d903b9,http://www.ncga.state.nc.us/Senate/pictures/hiRes/63.jpg
NCL000220,Norman W Sanderson,Norman W.,Sanderson,upper,2,Republican,62873c9cc448493f81b1ce16d8de971f,http://www.ncga.state.nc.us/Senate/pictures/hiRes/375.jpg
