organization-index,organization,indiv,pac,totals,source
36,GlaxoSmithKline,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
37,Gold & Silver PAC,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
38,Toyota Motor Corp,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
39,Weyerhaeuser Co,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
40,PricewaterhouseCoopers,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
41,Onex Corp,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
42,Operating Engineers Union,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
43,National Pork Producers Council,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
44,National Beer Wholesalers Assn,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
45,National Assn of Convenience Stores,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
46,Long Leaf Pine PAC,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
47,Lorillard Inc,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
48,Marathon Petroleum,0,5000,5000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
49,Microsoft Corp,0,4500,4500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
50,Walgreen Co,0,4500,4500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
51,Google Inc,0,4500,4500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
52,PepsiCo Inc,0,4097,4097,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
53,National Education Assn,0,4000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
54,General Dynamics,0,4000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
55,Kellogg Co,0,4000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
56,Intuit Inc,0,4000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
57,Eli Lilly & Co,0,4000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
58,DaVita HealthCare Partners,0,4000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
59,Bob Etheridge for Congress Cmte,0,4000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
60,American Osteopathic Assn,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
61,American Forest & Paper Assn,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
62,American Academy of Neurology,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
63,Credit Union National Assn,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
64,DirecTV,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
65,Dominion Resources,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
66,FedEx Corp,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
67,Honeywell International,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
68,iHeartMedia Inc,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
69,MacAndrews & Forbes,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
70,Time Warner Cable,0,3500,3500,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
71,McGuireWoods LLP,1000,3000,4000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
72,Time Warner,250,3000,3250,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
73,Smithfield Foods,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
74,Kraft Foods Group,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
75,Liberty Mutual,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
76,Lowe's Companies,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
77,National Football League,0,3000,3000,http://www.opensecrets.org/politicians/contrib.php?type=C&amp;cid=N00027035&amp;newMem=N&amp;cycle=2014
