organization-index,organization,pac,indivs,Source,
47,American Academy of Ophthalmology,2500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
48,Grant Thornton LLP,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
49,National Cotton Council,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
50,Bayada Home Health Care,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
51,National Assn for Uniformed Services,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
52,Rent-A-Center,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
53,Brunswick Corp,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
54,Acton PAC,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
55,American Federation of Govt Employees,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
56,American Physical Therapy Assn,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
57,Duke Energy,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
58,Weyerhaeuser Co,2000,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
59,Fanjul Corp,1500,500,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
60,Piedmont Natural Gas,1500,0,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
61,Emergent Biosolutions,1000,5200,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
62,Democracy Engine,0,21415,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
63,Captive-Aire Inc,0,10400,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
64,Eastern Ortho & Pediatric Dent,0,5450,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
65,Good Stuff Fishing LLC,0,5200,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
66,RA Jeffreys Distributing,0,4750,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
67,US Civil Service,0,4350,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
68,Ham Farms,0,4000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
69,West Pharmaceutical Services,0,4000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
70,Collice Moore & Assoc,0,4000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
71,East Coast Builders Group,0,4000,http://www.opensecrets.org/politicians/contrib.php?cycle=2014&amp;cid=N00002299,
